data;precipitacao_total;temperatura_c;umidade_relativa_percent
2020/01/01;0.0;26.9;
2020/01/01;0.0;26.9;
2020/01/01;0.0;26.6;
2020/01/01;0.0;26.2;
2020/01/01;0.0;25.2;
2020/01/01;0.0;26.0;
2020/01/01;0.0;25.1;
2020/01/01;0.0;24.6;
2020/01/01;0.0;23.9;
2020/01/01;0.0;23.2;
2020/01/01;0.0;23.9;
2020/01/01;0.0;24.9;
2020/01/01;0.0;27.0;
2020/01/01;0.0;28.7;
2020/01/01;0.0;30.8;
2020/01/01;0.0;32.3;
2020/01/01;0.0;32.8;
2020/01/01;0.0;33.6;
2020/01/01;0.0;26.1;
2020/01/01;0.0;24.9;
2020/01/01;0.6;25.2;
2020/01/01;0.0;23.5;
2020/01/01;0.0;23.2;
2020/01/01;0.0;23.0;
2020/01/02;0.0;23.0;
2020/01/02;0.0;22.7;
2020/01/02;0.0;23.8;
2020/01/02;0.0;23.4;
2020/01/02;0.0;23.7;
2020/01/02;0.0;22.7;
2020/01/02;0.0;23.9;
2020/01/02;0.0;21.9;
2020/01/02;0.0;22.2;
2020/01/02;0.0;22.3;
2020/01/02;0.0;23.4;
2020/01/02;0.0;24.8;
2020/01/02;0.0;26.9;
2020/01/02;0.0;27.2;
2020/01/02;0.0;28.3;
2020/01/02;0.0;29.6;
2020/01/02;0.0;29.2;
2020/01/02;0.0;28.8;
2020/01/02;0.0;26.2;
2020/01/02;0.0;26.7;
2020/01/02;0.0;26.9;
2020/01/02;0.0;27.1;
2020/01/02;0.0;25.7;
2020/01/02;1.0;24.0;
2020/01/03;17.4;23.0;
2020/01/03;0.0;22.4;
2020/01/03;8.4;21.7;
2020/01/03;4.0;21.2;
2020/01/03;0.8;20.7;
2020/01/03;2.8;20.3;
2020/01/03;1.2;20.5;
2020/01/03;0.2;20.6;
2020/01/03;0.2;20.3;
2020/01/03;0.0;20.2;
2020/01/03;0.0;20.7;
2020/01/03;0.0;21.0;
2020/01/03;0.0;21.7;
2020/01/03;0.0;21.7;
2020/01/03;1.8;21.5;
2020/01/03;0.6;21.8;
2020/01/03;0.2;22.7;
2020/01/03;0.0;23.8;
2020/01/03;0.0;24.5;
2020/01/03;0.0;24.2;
2020/01/03;0.0;23.8;
2020/01/03;0.0;23.0;
2020/01/03;0.0;23.4;
2020/01/03;0.0;22.9;
2020/01/04;0.0;22.7;
2020/01/04;0.0;22.1;
2020/01/04;0.0;21.9;
2020/01/04;0.0;21.3;
2020/01/04;0.0;20.5;
2020/01/04;0.0;19.8;
2020/01/04;0.0;19.2;
2020/01/04;0.0;18.7;
2020/01/04;0.0;18.8;
2020/01/04;0.0;19.2;
2020/01/04;0.6;19.0;
2020/01/04;0.0;21.6;
2020/01/04;0.0;22.9;
2020/01/04;0.0;24.4;
2020/01/04;0.0;24.5;
2020/01/04;0.0;25.5;
2020/01/04;0.0;25.3;
2020/01/04;0.0;27.0;
2020/01/04;0.2;26.6;
2020/01/04;0.0;26.4;
2020/01/04;0.0;27.3;
2020/01/04;0.0;26.8;
2020/01/04;0.0;25.1;
2020/01/04;0.0;24.0;
2020/01/05;0.0;24.1;
2020/01/05;0.0;24.4;
2020/01/05;0.0;23.3;
2020/01/05;0.0;22.5;
2020/01/05;0.0;21.8;
2020/01/05;0.0;20.7;
2020/01/05;0.2;19.5;
2020/01/05;0.2;19.0;
2020/01/05;0.0;18.7;
2020/01/05;0.2;19.0;
2020/01/05;0.0;20.5;
2020/01/05;0.0;21.6;
2020/01/05;0.0;23.4;
2020/01/05;0.0;25.5;
2020/01/05;0.0;25.7;
2020/01/05;0.0;25.3;
2020/01/05;1.4;19.5;
2020/01/05;0.0;22.6;
2020/01/05;0.0;23.3;
2020/01/05;0.0;24.8;
2020/01/05;0.0;24.9;
2020/01/05;0.0;24.6;
2020/01/05;0.0;23.8;
2020/01/05;0.0;23.8;
2020/01/06;0.0;23.2;
2020/01/06;0.0;22.3;
2020/01/06;0.0;21.1;
2020/01/06;0.0;20.9;
2020/01/06;0.0;20.6;
2020/01/06;0.0;20.6;
2020/01/06;0.0;20.3;
2020/01/06;0.0;20.8;
2020/01/06;0.0;20.8;
2020/01/06;0.0;20.6;
2020/01/06;0.0;21.6;
2020/01/06;0.0;24.1;
2020/01/06;0.0;25.4;
2020/01/06;0.2;27.1;
