data;precipitacao_total;temperatura_c;umidade_relativa_percent
2021/01/01;34.2;22.633333333333336;87.91666666666667
2021/01/02;5.2;23.458333333333332;85.91666666666667
2021/01/03;0.0;23.47083333333333;77.75
2021/01/04;0.0;23.25;73.125
2021/01/05;0.0;24.59166666666667;73.20833333333333
2021/01/06;7.8;24.400000000000002;81.125
2021/01/07;0.2;23.6375;85.0
2021/01/08;0.2;23.941666666666666;81.125
2021/01/09;0.0;25.650000000000002;76.0
2021/01/10;0.0;25.579166666666666;79.45833333333333
2021/01/11;0.0;25.208333333333332;80.04166666666667
2021/01/12;17.8;25.22083333333333;82.95833333333333
2021/01/13;9.6;24.116666666666664;89.375
2021/01/14;0.2;23.129166666666666;89.45833333333333
2021/01/15;5.2;22.349999999999998;89.83333333333333
2021/01/16;0.6000000000000001;23.116666666666664;85.33333333333333
2021/01/17;83.8;22.825;89.95833333333333
2021/01/18;18.200000000000003;23.379166666666666;89.83333333333333
2021/01/19;4.199999999999999;23.958333333333332;86.91666666666667
2021/01/20;0.0;24.3875;84.58333333333333
2021/01/21;0.0;24.791666666666668;77.33333333333333
2021/01/22;0.0;25.879166666666666;66.58333333333333
2021/01/23;0.0;25.433333333333334;69.70833333333333
2021/01/24;0.0;23.27916666666667;79.5
2021/01/25;6.8;23.175;81.54166666666667
2021/01/26;0.0;24.254166666666666;73.91666666666667
2021/01/27;1.6;24.816666666666666;74.125
2021/01/28;2.5999999999999996;23.641666666666666;80.75
2021/01/29;10.200000000000001;23.516666666666666;83.45833333333333
2021/01/30;7.6;23.275000000000002;86.25
2021/01/31;9.8;21.954166666666666;91.83333333333333
2021/02/01;0.0;23.766666666666666;78.91666666666667
2021/02/02;0.8;25.254166666666666;76.29166666666667
2021/02/03;0.2;25.84583333333333;73.04166666666667
2021/02/04;0.0;26.208333333333332;78.20833333333333
2021/02/05;0.0;24.695833333333336;77.75
2021/02/06;0.0;23.625;65.04166666666667
2021/02/07;0.0;22.837500000000002;68.54166666666667
2021/02/08;0.0;22.454166666666666;66.29166666666667
2021/02/09;0.0;22.670833333333334;64.20833333333333
2021/02/10;0.0;23.8125;65.95833333333333
2021/02/11;29.599999999999998;20.829166666666666;85.29166666666667
2021/02/12;4.6;21.40833333333333;87.95833333333333
2021/02/13;0.0;23.1125;84.75
2021/02/14;33.2;22.554166666666664;82.08333333333333
2021/02/15;0.0;22.520833333333332;78.70833333333333
2021/02/16;0.0;25.495833333333334;71.20833333333333
2021/02/17;20.0;24.025000000000002;75.91666666666667
2021/02/18;0.0;24.75;70.375
