data;precipitacao_total;temperatura_c;umidade_relativa_percent
2022/01/01;0.0;24.7;79
2022/01/01;0.0;24.0;81
2022/01/01;0.0;23.3;87
2022/01/01;0.0;23.9;78
2022/01/01;0.0;23.4;83
2022/01/01;0.0;21.9;94
2022/01/01;0.0;21.8;98
2022/01/01;0.0;21.5;98
2022/01/01;0.0;20.9;100
2022/01/01;0.0;21.0;100
2022/01/01;0.0;21.1;99
2022/01/01;0.0;22.1;92
2022/01/01;0.0;23.0;89
2022/01/01;0.0;24.6;82
2022/01/01;0.0;25.5;74
2022/01/01;0.0;25.8;73
2022/01/01;0.0;27.5;66
2022/01/01;0.0;28.5;60
2022/01/01;0.0;28.7;57
2022/01/01;0.0;28.4;57
2022/01/01;0.0;26.2;68
2022/01/01;0.0;25.8;71
2022/01/01;0.0;24.9;75
2022/01/01;0.0;24.3;79
2022/01/02;0.0;24.0;83
2022/01/02;0.0;23.5;91
2022/01/02;0.0;23.4;92
2022/01/02;0.0;23.0;93
2022/01/02;0.0;22.5;95
2022/01/02;0.0;22.2;97
2022/01/02;0.0;21.7;100
2022/01/02;0.0;21.5;100
2022/01/02;0.0;21.0;100
2022/01/02;0.0;21.2;100
2022/01/02;0.0;22.3;95
2022/01/02;0.0;23.8;86
2022/01/02;0.0;25.3;80
2022/01/02;0.0;25.4;80
2022/01/02;0.2;26.2;74
2022/01/02;1.6;23.2;95
2022/01/02;0.0;27.1;75
2022/01/02;0.2;27.5;71
2022/01/02;0.0;25.5;80
2022/01/02;0.0;25.3;78
2022/01/02;0.0;25.3;79
2022/01/02;0.0;25.2;82
2022/01/02;0.0;24.9;85
2022/01/02;0.0;24.7;88
2022/01/03;0.0;24.4;88
2022/01/03;0.0;24.6;82
2022/01/03;0.0;24.5;85
2022/01/03;0.0;23.9;87
2022/01/03;0.0;23.3;92
2022/01/03;0.0;23.3;91
2022/01/03;0.0;23.0;91
2022/01/03;0.0;23.0;91
2022/01/03;0.0;21.6;100
2022/01/03;0.0;22.6;96
2022/01/03;0.0;23.0;95
2022/01/03;0.0;23.7;91
2022/01/03;0.0;24.5;90
2022/01/03;0.0;25.7;83
2022/01/03;0.0;27.7;74
2022/01/03;0.0;28.4;66
2022/01/03;0.0;29.3;66
2022/01/03;0.0;29.4;60
2022/01/03;7.2;24.4;100
2022/01/03;0.8;25.0;100
2022/01/03;0.0;24.6;98
2022/01/03;8.4;23.4;100
2022/01/03;0.2;23.3;100
2022/01/03;0.0;23.3;100
2022/01/04;0.0;22.9;100
2022/01/04;0.2;22.1;100
2022/01/04;0.0;21.6;96
2022/01/04;0.0;20.9;100
2022/01/04;0.0;20.9;100
2022/01/04;0.0;21.2;100
2022/01/04;0.0;21.0;100
2022/01/04;0.0;21.1;100
2022/01/04;0.0;21.2;100
2022/01/04;0.0;21.2;100
2022/01/04;0.0;21.7;100
2022/01/04;0.0;21.9;100
2022/01/04;0.0;22.5;100
2022/01/04;0.0;22.8;100
2022/01/04;0.0;22.7;100
2022/01/04;0.0;24.1;95
2022/01/04;0.2;25.6;85
2022/01/04;2.0;24.1;100
2022/01/04;0.0;27.6;75
2022/01/04;0.0;29.0;66
2022/01/04;0.2;29.9;63
2022/01/04;0.0;27.0;74
2022/01/04;0.0;24.3;91
2022/01/04;0.0;22.4;100
2022/01/05;0.0;22.8;100
2022/01/05;0.0;22.8;100
2022/01/05;0.4;22.1;100
2022/01/05;0.0;21.7;100
2022/01/05;0.0;21.4;100
2022/01/05;0.0;21.4;100
2022/01/05;0.0;21.4;100
2022/01/05;0.0;21.3;100
2022/01/05;0.0;21.6;100
2022/01/05;0.0;21.6;100
2022/01/05;0.0;22.0;100
2022/01/05;0.0;22.6;100
2022/01/05;0.0;23.1;99
2022/01/05;0.0;24.4;89
2022/01/05;0.0;25.8;86
2022/01/05;0.0;26.1;80
2022/01/05;0.0;25.9;88
2022/01/05;0.8;27.1;83
2022/01/05;5.8;23.7;98
2022/01/05;5.4;21.8;100
2022/01/05;4.2;21.2;100
2022/01/05;0.6;22.8;100
2022/01/05;0.0;22.4;100
2022/01/05;0.0;22.0;100
2022/01/06;0.0;21.9;100
2022/01/06;0.0;23.2;89
2022/01/06;0.0;22.5;95
2022/01/06;0.0;22.9;90
2022/01/06;0.0;22.5;93
2022/01/06;0.0;22.4;92
2022/01/06;0.0;21.6;98
2022/01/06;0.0;21.7;100
2022/01/06;0.2;21.2;100
2022/01/06;0.0;21.3;100
2022/01/06;0.0;21.3;100
2022/01/06;0.0;21.9;100
2022/01/06;0.0;22.9;100
2022/01/06;0.0;23.4;100
2022/01/06;0.0;25.3;87
2022/01/06;0.0;26.3;80
2022/01/06;0.0;27.5;78
2022/01/06;0.0;27.8;68
2022/01/06;0.0;28.0;68
2022/01/06;0.0;28.7;66
2022/01/06;0.0;29.0;64
2022/01/06;0.0;28.4;67
2022/01/06;0.0;25.1;78
2022/01/06;0.0;23.6;86
2022/01/07;0.0;23.1;89
2022/01/07;7.0;21.1;100
2022/01/07;1.2;21.2;100
2022/01/07;0.2;20.7;100
2022/01/07;0.0;20.4;100
2022/01/07;0.0;19.8;100
2022/01/07;0.0;19.7;100
2022/01/07;0.0;19.6;100
2022/01/07;0.0;19.5;100
2022/01/07;0.0;19.5;100
2022/01/07;0.0;19.3;100
2022/01/07;0.0;20.4;99
2022/01/07;0.0;21.4;93
2022/01/07;0.0;22.4;87
2022/01/07;0.0;23.7;84
2022/01/07;0.0;24.2;76
2022/01/07;0.0;24.3;77
2022/01/07;0.0;24.9;77
2022/01/07;0.0;24.4;76
2022/01/07;0.0;25.2;75
2022/01/07;0.0;23.8;73
2022/01/07;0.0;23.4;76
2022/01/07;0.0;22.5;81
2022/01/07;0.0;21.3;88
2022/01/08;0.0;20.3;89
2022/01/08;0.0;19.7;87
2022/01/08;0.0;19.4;90
2022/01/08;0.0;19.0;93
2022/01/08;0.0;18.2;93
2022/01/08;0.0;17.9;93
2022/01/08;0.0;17.5;96
2022/01/08;0.0;17.4;97
2022/01/08;0.0;17.3;100
2022/01/08;0.0;17.0;100
2022/01/08;0.0;18.5;95
2022/01/08;0.0;20.7;88
2022/01/08;0.0;21.7;82
2022/01/08;0.0;24.3;75
2022/01/08;0.0;25.0;70
2022/01/08;0.0;25.6;69
2022/01/08;0.0;26.3;71
2022/01/08;0.0;26.5;68
2022/01/08;0.0;26.6;64
2022/01/08;0.0;27.1;64
2022/01/08;0.0;25.5;67
2022/01/08;0.0;24.6;70
2022/01/08;0.0;23.9;72
2022/01/08;0.0;22.6;74
2022/01/09;0.0;21.3;77
2022/01/09;0.0;20.4;80
2022/01/09;0.0;19.4;86
2022/01/09;0.0;18.7;88
2022/01/09;0.0;18.1;87
2022/01/09;0.0;17.8;89
2022/01/09;0.0;17.4;92
2022/01/09;0.0;17.2;94
2022/01/09;0.0;16.9;97
2022/01/09;0.0;16.8;98
2022/01/09;0.0;18.3;91
2022/01/09;0.0;20.3;81
2022/01/09;0.0;21.9;76
2022/01/09;0.0;22.5;74
2022/01/09;0.0;22.5;75
2022/01/09;0.0;24.5;69
2022/01/09;0.0;25.2;67
2022/01/09;0.0;24.1;72
2022/01/09;0.0;24.8;70
2022/01/09;0.0;25.0;73
2022/01/09;0.0;24.1;71
2022/01/09;0.0;23.5;72
2022/01/09;0.0;22.2;75
2022/01/09;0.0;21.3;77
2022/01/10;0.0;20.5;81
2022/01/10;0.0;19.6;87
2022/01/10;0.0;19.0;90
2022/01/10;0.0;18.3;92
2022/01/10;0.0;17.0;100
2022/01/10;0.0;16.6;100
2022/01/10;0.0;16.4;100
2022/01/10;0.0;16.2;100
2022/01/10;0.0;16.2;100
2022/01/10;0.0;16.4;100
2022/01/10;0.0;17.2;100
2022/01/10;0.0;18.3;98
2022/01/10;0.0;19.5;93
2022/01/10;0.0;22.6;84
2022/01/10;0.0;23.3;76
2022/01/10;0.0;25.0;75
2022/01/10;0.0;25.7;68
2022/01/10;0.0;26.6;65
2022/01/10;0.0;27.7;57
2022/01/10;0.0;27.6;57
2022/01/10;0.0;26.1;59
2022/01/10;0.0;25.3;68
2022/01/10;0.0;24.2;72
2022/01/10;0.0;22.2;76
2022/01/11;0.0;22.9;67
2022/01/11;0.0;21.7;82
2022/01/11;0.0;21.2;91
2022/01/11;0.0;21.1;96
2022/01/11;0.4;20.4;100
2022/01/11;1.4;19.6;100
2022/01/11;18.6;17.3;100
2022/01/11;12.6;17.0;100
2022/01/11;0.2;17.0;100
2022/01/11;0.0;17.8;100
2022/01/11;0.0;18.4;99
2022/01/11;0.0;19.0;100
2022/01/11;0.0;20.5;94
2022/01/11;0.0;21.7;87
2022/01/11;10.0;19.0;100
2022/01/11;4.8;19.2;100
2022/01/11;0.0;23.5;72
2022/01/11;0.0;25.3;69
2022/01/11;0.0;26.6;67
2022/01/11;0.0;25.5;70
2022/01/11;0.0;25.9;73
2022/01/11;0.0;24.2;72
2022/01/11;0.0;23.1;79
2022/01/11;0.0;22.6;83
2022/01/12;0.0;22.0;91
2022/01/12;0.0;21.1;93
2022/01/12;0.0;20.4;97
2022/01/12;0.0;19.6;100
2022/01/12;0.0;19.8;100
2022/01/12;0.0;19.8;100
2022/01/12;0.0;20.1;99
2022/01/12;0.0;20.1;100
2022/01/12;0.0;20.2;100
2022/01/12;0.0;20.0;100
2022/01/12;0.0;20.4;100
2022/01/12;0.0;21.5;99
2022/01/12;0.0;24.5;84
2022/01/12;0.0;25.7;74
2022/01/12;0.0;26.6;71
2022/01/12;0.0;27.6;68
2022/01/12;0.0;28.1;60
2022/01/12;0.0;27.9;56
2022/01/12;0.0;28.0;56
2022/01/12;0.0;28.4;60
2022/01/12;1.4;22.1;100
2022/01/12;0.2;21.4;100
2022/01/12;0.0;21.0;100
2022/01/12;0.0;20.4;100
2022/01/13;0.0;20.3;100
2022/01/13;0.0;21.2;98
2022/01/13;4.6;20.6;100
2022/01/13;0.4;19.9;100
2022/01/13;0.0;20.1;90
2022/01/13;0.0;20.4;95
2022/01/13;0.0;20.8;94
2022/01/13;0.0;20.8;92
2022/01/13;0.0;20.5;100
2022/01/13;0.0;20.7;100
2022/01/13;0.0;21.0;100
2022/01/13;0.0;21.5;100
2022/01/13;0.0;22.0;99
2022/01/13;0.0;23.3;93
2022/01/13;0.0;24.0;86
2022/01/13;0.0;26.2;74
2022/01/13;0.0;26.5;70
2022/01/13;0.0;27.3;67
2022/01/13;0.2;26.1;77
2022/01/13;0.2;23.3;95
2022/01/13;0.0;24.1;98
2022/01/13;0.0;25.1;87
2022/01/13;0.0;24.3;92
2022/01/13;0.0;22.9;100
2022/01/14;0.0;22.8;97
2022/01/14;0.0;23.6;94
2022/01/14;0.0;23.2;97
2022/01/14;0.0;23.4;95
2022/01/14;0.0;22.5;98
2022/01/14;0.0;21.9;97
2022/01/14;0.0;21.6;97
2022/01/14;0.0;21.5;97
2022/01/14;0.0;21.7;93
2022/01/14;0.0;21.7;91
2022/01/14;0.0;22.4;89
2022/01/14;0.0;24.3;81
2022/01/14;0.0;25.9;74
2022/01/14;0.2;27.2;71
2022/01/14;0.0;28.6;67
2022/01/14;0.0;29.6;60
2022/01/14;0.0;30.7;54
2022/01/14;0.0;31.3;55
2022/01/14;0.0;30.7;53
2022/01/14;0.0;32.3;51
2022/01/14;0.0;30.6;51
2022/01/14;0.0;29.6;56
2022/01/14;0.0;28.7;61
2022/01/14;0.0;27.5;64
2022/01/15;0.0;26.7;70
2022/01/15;0.0;25.4;74
2022/01/15;0.0;24.4;84
2022/01/15;0.0;25.0;77
2022/01/15;0.0;23.8;88
2022/01/15;0.0;23.3;92
2022/01/15;0.0;22.7;98
2022/01/15;0.0;22.8;96
2022/01/15;0.0;23.1;94
2022/01/15;0.0;22.7;96
2022/01/15;0.0;23.4;91
2022/01/15;0.0;24.9;86
2022/01/15;0.0;27.4;73
2022/01/15;0.0;30.1;63
2022/01/15;0.0;30.2;58
2022/01/15;0.0;30.3;60
2022/01/15;0.0;31.9;55
2022/01/15;0.0;30.4;61
2022/01/15;1.0;30.1;60
2022/01/15;0.0;30.3;60
2022/01/15;0.0;28.6;74
2022/01/15;0.0;28.1;70
2022/01/15;0.0;26.9;77
2022/01/15;0.0;26.6;75
2022/01/16;0.0;25.3;73
2022/01/16;0.0;24.0;90
2022/01/16;0.0;23.0;84
2022/01/16;0.0;21.0;100
2022/01/16;0.0;20.9;99
2022/01/16;0.2;20.5;100
2022/01/16;0.0;20.6;98
2022/01/16;0.0;21.6;86
2022/01/16;0.0;21.7;82
2022/01/16;0.0;22.7;71
2022/01/16;0.0;22.8;73
2022/01/16;0.0;23.7;70
2022/01/16;0.0;24.2;68
2022/01/16;0.0;23.6;77
2022/01/16;0.0;23.9;75
2022/01/16;0.0;22.4;91
2022/01/16;4.2;21.6;100
2022/01/16;0.4;21.9;99
2022/01/16;0.0;22.5;87
2022/01/16;0.0;22.6;86
2022/01/16;0.0;22.2;97
2022/01/16;0.0;21.6;96
2022/01/16;0.0;21.2;95
2022/01/16;0.0;21.1;99
2022/01/17;0.0;21.1;96
2022/01/17;0.0;21.8;83
2022/01/17;0.0;21.0;95
2022/01/17;0.0;21.7;87
2022/01/17;0.0;21.0;94
2022/01/17;0.0;20.3;100
2022/01/17;0.0;20.6;100
2022/01/17;0.0;20.5;100
2022/01/17;0.0;20.7;100
2022/01/17;0.0;20.8;100
2022/01/17;0.0;22.0;97
2022/01/17;0.0;23.2;85
2022/01/17;0.2;23.4;80
2022/01/17;0.0;25.1;79
2022/01/17;0.0;26.4;70
2022/01/17;0.0;25.5;77
2022/01/17;0.0;26.1;77
2022/01/17;0.0;26.5;75
2022/01/17;0.0;28.2;64
2022/01/17;0.0;27.5;68
2022/01/17;0.0;26.9;77
2022/01/17;0.0;27.0;73
2022/01/17;0.0;25.5;79
2022/01/17;0.0;24.6;84
2022/01/18;0.0;24.6;88
2022/01/18;0.0;24.1;93
2022/01/18;0.0;24.0;88
2022/01/18;0.0;23.7;84
2022/01/18;0.0;23.4;81
2022/01/18;0.0;23.2;81
2022/01/18;0.0;23.4;81
2022/01/18;0.0;22.3;93
2022/01/18;0.0;22.8;81
2022/01/18;0.0;22.4;84
2022/01/18;0.0;24.0;75
2022/01/18;0.0;24.7;77
2022/01/18;0.0;27.0;69
2022/01/18;0.0;27.9;64
2022/01/18;0.0;29.4;59
2022/01/18;0.0;30.1;52
2022/01/18;1.0;24.2;94
2022/01/18;0.2;29.8;63
2022/01/18;0.0;30.8;52
2022/01/18;0.0;29.7;64
2022/01/18;0.0;22.9;87
2022/01/18;1.0;20.3;98
2022/01/18;0.0;20.6;100
2022/01/18;3.6;20.6;100
2022/01/19;1.6;20.1;100
2022/01/19;1.0;20.9;100
2022/01/19;1.4;20.1;100
2022/01/19;1.0;20.2;100
2022/01/19;0.0;19.8;100
2022/01/19;0.0;20.1;100
2022/01/19;0.0;20.3;100
2022/01/19;0.0;20.1;100
2022/01/19;0.0;20.4;100
2022/01/19;0.0;20.3;100
2022/01/19;0.0;20.2;100
2022/01/19;0.0;21.5;100
2022/01/19;0.0;22.1;99
2022/01/19;0.0;24.2;84
2022/01/19;0.2;26.4;74
2022/01/19;0.0;27.6;65
2022/01/19;0.0;27.7;61
2022/01/19;0.0;29.2;57
2022/01/19;0.0;29.1;60
2022/01/19;0.0;28.4;66
2022/01/19;0.0;27.6;71
2022/01/19;0.0;26.2;74
2022/01/19;0.0;26.0;72
2022/01/19;0.0;24.4;82
2022/01/20;0.0;23.6;83
2022/01/20;0.0;24.9;74
2022/01/20;0.0;24.7;80
2022/01/20;0.0;24.1;83
2022/01/20;0.0;22.1;93
2022/01/20;0.0;21.5;92
2022/01/20;0.0;21.4;89
2022/01/20;0.0;21.2;91
2022/01/20;0.0;20.5;98
2022/01/20;0.0;21.4;88
2022/01/20;0.0;23.2;76
2022/01/20;0.0;21.6;94
2022/01/20;0.0;25.6;67
2022/01/20;0.0;26.0;66
2022/01/20;0.0;27.9;61
2022/01/20;0.0;28.4;58
2022/01/20;0.0;29.6;51
2022/01/20;0.0;30.2;47
2022/01/20;0.0;30.9;49
2022/01/20;0.0;30.3;52
2022/01/20;0.0;30.6;46
2022/01/20;0.0;30.4;47
2022/01/20;0.0;29.2;48
2022/01/20;0.0;27.8;55
2022/01/21;0.0;26.4;61
2022/01/21;0.0;25.0;70
2022/01/21;0.0;23.2;84
2022/01/21;0.0;24.2;75
2022/01/21;0.0;24.0;75
2022/01/21;0.0;23.1;81
2022/01/21;0.0;22.6;86
2022/01/21;0.0;22.3;86
2022/01/21;0.0;22.2;88
2022/01/21;0.0;21.6;91
2022/01/21;0.0;24.3;75
2022/01/21;0.0;26.1;68
2022/01/21;0.0;27.2;72
2022/01/21;0.0;28.7;66
2022/01/21;0.0;30.1;53
2022/01/21;0.0;30.2;54
2022/01/21;0.0;31.0;55
2022/01/21;0.0;30.5;58
2022/01/21;0.0;30.4;55
2022/01/21;0.0;30.4;55
2022/01/21;0.0;28.8;59
2022/01/21;0.0;29.8;51
2022/01/21;0.0;27.8;56
2022/01/21;0.0;25.2;67
2022/01/22;0.0;23.3;76
2022/01/22;0.0;24.6;70
2022/01/22;0.0;24.8;71
2022/01/22;0.0;24.0;76
2022/01/22;0.0;24.5;72
2022/01/22;0.0;23.9;75
2022/01/22;0.0;22.3;88
2022/01/22;0.0;22.5;89
2022/01/22;0.0;22.4;92
2022/01/22;0.0;22.4;92
2022/01/22;0.0;23.5;84
2022/01/22;0.0;24.7;73
2022/01/22;0.0;26.5;73
2022/01/22;0.0;28.9;62
2022/01/22;0.0;30.7;56
2022/01/22;0.0;31.3;50
2022/01/22;0.0;31.1;50
2022/01/22;0.0;32.6;50
2022/01/22;0.0;31.1;51
2022/01/22;0.0;32.9;47
2022/01/22;0.0;32.6;46
2022/01/22;0.0;31.9;49
2022/01/22;0.0;30.6;52
2022/01/22;0.0;28.2;59
2022/01/23;0.0;27.7;60
2022/01/23;0.0;27.4;60
2022/01/23;0.0;26.7;64
2022/01/23;0.0;26.1;63
2022/01/23;0.0;26.2;61
2022/01/23;0.0;26.6;57
2022/01/23;0.0;26.0;55
2022/01/23;0.0;25.3;58
2022/01/23;0.0;24.3;61
2022/01/23;0.0;23.8;62
2022/01/23;0.0;24.3;62
2022/01/23;0.0;25.9;59
2022/01/23;0.0;27.7;51
2022/01/23;0.0;29.0;48
2022/01/23;0.0;31.5;48
2022/01/23;0.0;32.2;44
2022/01/23;0.0;32.1;48
2022/01/23;0.0;33.5;45
2022/01/23;0.0;32.1;47
2022/01/23;0.0;33.6;44
2022/01/23;0.0;32.9;43
2022/01/23;0.0;32.4;46
2022/01/23;0.0;30.6;49
2022/01/23;0.0;28.3;57
2022/01/24;0.0;28.2;56
2022/01/24;0.0;27.3;59
2022/01/24;0.0;27.4;59
2022/01/24;0.0;27.9;57
2022/01/24;0.0;27.4;59
2022/01/24;0.0;26.9;59
2022/01/24;0.0;26.8;60
2022/01/24;0.0;25.7;67
2022/01/24;0.0;24.5;74
2022/01/24;0.0;24.0;68
2022/01/24;0.0;24.2;72
2022/01/24;0.0;25.5;68
2022/01/24;0.0;27.3;60
2022/01/24;0.0;29.1;56
2022/01/24;0.0;31.0;48
2022/01/24;0.0;33.1;47
2022/01/24;0.0;33.1;49
2022/01/24;0.0;32.3;46
2022/01/24;0.0;32.1;46
2022/01/24;0.0;33.9;34
2022/01/24;0.0;33.8;39
2022/01/24;0.0;32.6;43
2022/01/24;0.0;30.8;45
2022/01/24;0.0;28.6;53
2022/01/25;0.0;27.8;56
2022/01/25;0.0;27.1;57
2022/01/25;0.0;26.9;59
2022/01/25;0.0;27.2;58
2022/01/25;0.0;26.7;60
2022/01/25;0.0;25.4;65
2022/01/25;0.0;23.7;75
2022/01/25;0.0;23.2;85
2022/01/25;0.0;22.4;94
2022/01/25;0.0;21.8;98
2022/01/25;0.0;22.0;99
2022/01/25;0.0;23.8;90
2022/01/25;0.0;26.2;76
2022/01/25;0.0;26.3;74
2022/01/25;0.0;28.5;65
2022/01/25;0.0;29.7;64
2022/01/25;0.0;30.0;64
2022/01/25;0.0;30.8;61
2022/01/25;0.0;32.0;57
2022/01/25;0.0;31.1;55
2022/01/25;0.4;30.2;61
2022/01/25;0.0;30.9;52
2022/01/25;0.0;29.4;54
2022/01/25;0.0;28.9;58
2022/01/26;0.0;28.3;56
2022/01/26;0.0;27.3;60
2022/01/26;0.0;27.5;62
2022/01/26;0.0;26.8;66
2022/01/26;0.0;25.7;69
2022/01/26;0.0;24.8;74
2022/01/26;0.0;24.7;76
2022/01/26;0.0;24.2;79
2022/01/26;1.0;21.8;100
2022/01/26;0.0;22.0;100
2022/01/26;0.0;23.2;92
2022/01/26;0.0;25.5;78
2022/01/26;0.0;26.8;76
2022/01/26;0.0;27.8;70
2022/01/26;0.2;29.8;61
2022/01/26;0.0;29.5;60
2022/01/26;0.0;29.5;60
2022/01/26;0.0;31.0;55
2022/01/26;0.0;31.7;51
2022/01/26;0.0;31.2;52
2022/01/26;0.0;31.8;49
2022/01/26;0.0;31.1;50
2022/01/26;0.0;29.8;54
2022/01/26;0.0;28.8;57
2022/01/27;0.0;28.4;64
2022/01/27;0.0;27.6;68
2022/01/27;0.0;25.5;77
2022/01/27;0.0;24.0;82
2022/01/27;0.0;23.7;94
2022/01/27;0.0;23.3;99
2022/01/27;0.0;23.1;95
2022/01/27;0.0;22.5;99
2022/01/27;0.0;22.3;100
2022/01/27;0.0;22.6;96
2022/01/27;0.0;22.8;98
2022/01/27;0.0;23.3;96
2022/01/27;0.0;24.2;92
2022/01/27;0.0;26.7;79
2022/01/27;0.0;26.9;75
2022/01/27;0.0;28.3;67
2022/01/27;0.0;29.5;64
2022/01/27;0.0;30.1;55
2022/01/27;0.0;30.7;55
2022/01/27;0.0;30.8;58
2022/01/27;0.0;30.7;55
2022/01/27;0.0;29.1;57
2022/01/27;0.0;25.9;70
2022/01/27;0.0;26.0;72
2022/01/28;0.0;25.2;78
2022/01/28;0.0;24.1;89
2022/01/28;0.0;23.1;98
2022/01/28;0.0;22.1;100
2022/01/28;3.0;20.7;100
2022/01/28;1.6;20.5;100
2022/01/28;0.0;20.5;100
2022/01/28;0.0;20.5;100
2022/01/28;0.0;20.4;100
2022/01/28;0.0;20.4;100
2022/01/28;0.0;20.8;100
2022/01/28;0.0;21.0;100
2022/01/28;0.0;24.1;92
2022/01/28;0.0;24.8;85
2022/01/28;0.0;25.3;86
2022/01/28;0.0;26.7;78
2022/01/28;0.0;28.7;67
2022/01/28;0.0;28.6;71
2022/01/28;0.8;22.5;90
2022/01/28;3.2;21.6;98
2022/01/28;1.2;20.5;100
2022/01/28;1.0;21.0;100
2022/01/28;1.0;20.8;100
2022/01/28;1.6;20.8;100
2022/01/29;1.2;20.7;100
2022/01/29;0.0;20.7;100
2022/01/29;0.6;20.9;100
2022/01/29;0.6;20.7;100
2022/01/29;0.0;20.7;100
2022/01/29;0.2;20.6;100
2022/01/29;0.0;20.5;100
2022/01/29;0.2;20.5;100
2022/01/29;0.2;20.6;100
2022/01/29;0.0;20.8;100
2022/01/29;0.0;20.9;100
2022/01/29;0.0;21.2;100
2022/01/29;0.0;21.4;100
2022/01/29;0.8;21.5;100
2022/01/29;1.2;21.6;100
2022/01/29;0.4;22.1;100
2022/01/29;0.0;23.2;100
2022/01/29;2.4;22.8;100
2022/01/29;1.4;23.4;98
2022/01/29;4.0;22.9;100
2022/01/29;4.0;22.8;100
2022/01/29;0.0;22.4;100
2022/01/29;2.6;22.1;100
2022/01/29;3.6;20.8;100
2022/01/30;0.2;21.7;100
2022/01/30;2.0;20.4;100
2022/01/30;10.6;19.9;100
2022/01/30;0.6;20.0;100
2022/01/30;15.2;19.8;100
2022/01/30;13.8;19.7;100
2022/01/30;7.2;18.6;100
2022/01/30;7.0;18.9;100
2022/01/30;6.0;18.8;100
2022/01/30;4.2;19.0;100
2022/01/30;2.8;19.0;100
2022/01/30;2.2;18.9;100
2022/01/30;3.6;18.8;100
