data;precipitacao_total;temperatura_c;umidade_relativa_percent
2024/01/01;0.0;25.9;48.0
2024/01/01;0.0;24.9;53.0
2024/01/01;0.0;23.5;60.0
2024/01/01;0.0;23.0;63.0
2024/01/01;0.0;22.2;67.0
2024/01/01;0.0;21.2;71.0
2024/01/01;0.0;20.7;74.0
2024/01/01;0.0;20.2;78.0
2024/01/01;0.0;19.3;82.0
2024/01/01;0.0;18.8;84.0
2024/01/01;0.0;19.6;81.0
2024/01/01;0.0;20.8;78.0
2024/01/01;0.0;23.2;70.0
2024/01/01;0.0;25.2;63.0
2024/01/01;0.0;26.9;57.0
2024/01/01;0.0;28.9;46.0
2024/01/01;0.0;31.3;42.0
2024/01/01;0.0;30.5;43.0
2024/01/01;0.0;30.4;37.0
2024/01/01;0.0;30.6;41.0
2024/01/01;0.0;30.6;37.0
2024/01/01;0.0;29.3;40.0
2024/01/01;0.0;27.7;42.0
2024/01/01;0.0;26.5;47.0
2024/01/02;0.0;25.7;49.0
2024/01/02;0.0;25.6;49.0
2024/01/02;0.0;25.0;52.0
2024/01/02;0.0;23.9;58.0
2024/01/02;0.0;23.1;64.0
2024/01/02;0.0;22.2;70.0
2024/01/02;0.0;21.6;73.0
2024/01/02;0.0;21.0;76.0
2024/01/02;0.0;20.7;78.0
2024/01/02;0.0;20.5;79.0
2024/01/02;0.0;22.0;74.0
2024/01/02;0.0;23.5;73.0
2024/01/02;0.0;25.7;63.0
2024/01/02;0.0;28.0;62.0
2024/01/02;0.0;28.9;54.0
2024/01/02;0.0;29.6;49.0
2024/01/02;0.0;29.6;51.0
2024/01/02;0.0;27.9;60.0
2024/01/02;5.2;23.0;92.0
2024/01/02;1.2;22.7;92.0
2024/01/02;0.2;23.7;83.0
2024/01/02;0.0;24.5;76.0
2024/01/02;0.0;23.4;85.0
2024/01/02;0.0;23.2;88.0
2024/01/03;0.0;23.5;79.0
2024/01/03;0.0;24.5;71.0
2024/01/03;0.0;25.2;65.0
2024/01/03;1.4;22.4;83.0
2024/01/03;0.0;22.4;86.0
2024/01/03;0.0;22.8;79.0
2024/01/03;0.0;22.4;80.0
2024/01/03;0.0;21.7;83.0
2024/01/03;0.0;21.4;82.0
2024/01/03;0.0;21.1;82.0
2024/01/03;0.0;21.6;81.0
2024/01/03;0.0;23.9;73.0
2024/01/03;0.0;25.7;68.0
2024/01/03;0.2;27.6;61.0
2024/01/03;0.0;28.9;57.0
2024/01/03;0.0;30.6;52.0
2024/01/03;0.0;32.4;47.0
2024/01/03;0.0;31.6;51.0
2024/01/03;0.0;33.1;45.0
2024/01/03;0.0;33.2;42.0
2024/01/03;0.0;33.5;40.0
2024/01/03;0.0;28.4;59.0
2024/01/03;0.0;27.4;61.0
2024/01/03;0.0;27.0;65.0
2024/01/04;0.0;24.7;70.0
2024/01/04;0.0;23.5;78.0
2024/01/04;0.0;24.2;75.0
2024/01/04;0.0;23.0;81.0
2024/01/04;0.0;22.0;87.0
2024/01/04;0.0;21.5;89.0
2024/01/04;0.0;21.1;87.0
2024/01/04;0.0;20.8;82.0
2024/01/04;0.0;20.5;83.0
2024/01/04;0.0;20.7;81.0
2024/01/04;0.0;21.7;78.0
2024/01/04;0.0;23.0;72.0
2024/01/04;0.0;24.9;67.0
2024/01/04;0.0;26.1;62.0
2024/01/04;0.0;28.2;61.0
2024/01/04;0.0;29.6;55.0
2024/01/04;0.0;30.2;47.0
2024/01/04;0.0;31.8;37.0
2024/01/04;0.0;32.8;40.0
2024/01/04;0.0;31.6;38.0
2024/01/04;0.0;30.9;42.0
2024/01/04;0.0;29.6;45.0
2024/01/04;0.0;28.3;49.0
2024/01/04;0.0;26.7;56.0
2024/01/05;0.0;25.4;62.0
2024/01/05;0.0;25.9;57.0
2024/01/05;0.0;25.1;61.0
2024/01/05;0.0;23.9;67.0
2024/01/05;0.0;22.8;72.0
2024/01/05;0.0;21.8;75.0
2024/01/05;0.0;20.9;78.0
2024/01/05;0.0;20.2;82.0
2024/01/05;0.0;20.0;83.0
2024/01/05;0.0;20.0;82.0
2024/01/05;0.0;21.3;76.0
2024/01/05;0.0;22.6;73.0
2024/01/05;0.0;24.1;69.0
2024/01/05;0.0;26.5;59.0
2024/01/05;0.0;28.7;49.0
2024/01/05;0.0;30.0;49.0
2024/01/05;0.0;31.3;44.0
2024/01/05;0.0;30.7;43.0
2024/01/05;0.0;31.7;40.0
2024/01/05;0.0;28.9;48.0
2024/01/05;0.0;28.6;50.0
2024/01/05;0.0;28.0;54.0
2024/01/05;0.0;26.3;65.0
2024/01/05;0.0;26.4;59.0
2024/01/06;0.0;25.5;59.0
2024/01/06;0.0;26.6;58.0
2024/01/06;0.0;25.7;62.0
2024/01/06;0.0;23.1;76.0
2024/01/06;0.0;23.3;68.0
2024/01/06;0.0;22.4;70.0
2024/01/06;0.0;21.2;76.0
2024/01/06;0.0;21.0;77.0
2024/01/06;0.0;20.5;80.0
2024/01/06;0.0;20.0;83.0
2024/01/06;0.0;21.0;79.0
2024/01/06;0.0;22.6;71.0
2024/01/06;0.0;25.1;65.0
2024/01/06;0.0;27.2;54.0
2024/01/06;0.0;29.5;47.0
2024/01/06;0.0;31.5;45.0
2024/01/06;0.0;32.1;38.0
2024/01/06;0.0;30.9;42.0
2024/01/06;0.0;31.0;40.0
2024/01/06;0.0;33.3;30.0
2024/01/06;0.0;31.1;41.0
2024/01/06;0.0;31.0;42.0
2024/01/06;0.0;30.0;44.0
2024/01/06;0.0;29.2;46.0
2024/01/07;0.0;28.3;51.0
2024/01/07;0.0;28.0;51.0
2024/01/07;0.0;26.9;56.0
2024/01/07;0.0;28.0;48.0
2024/01/07;0.0;25.8;56.0
2024/01/07;0.0;24.4;64.0
2024/01/07;0.0;23.3;70.0
2024/01/07;0.0;22.5;74.0
2024/01/07;0.0;22.2;75.0
2024/01/07;0.0;22.0;76.0
2024/01/07;0.0;23.4;69.0
2024/01/07;0.0;26.0;62.0
2024/01/07;0.0;28.1;54.0
2024/01/07;0.0;29.4;52.0
2024/01/07;0.0;31.1;45.0
2024/01/07;0.0;33.1;40.0
2024/01/07;0.0;33.1;36.0
2024/01/07;0.0;34.3;35.0
2024/01/07;0.0;34.3;36.0
2024/01/07;0.0;33.7;36.0
2024/01/07;0.0;33.1;33.0
2024/01/07;0.0;32.3;36.0
2024/01/07;7.2;22.8;87.0
2024/01/07;0.0;22.9;79.0
2024/01/08;0.2;25.9;56.0
2024/01/08;0.0;28.6;48.0
2024/01/08;0.0;26.1;61.0
2024/01/08;0.0;23.3;77.0
2024/01/08;0.0;25.8;65.0
2024/01/08;0.0;26.2;62.0
2024/01/08;0.0;24.8;68.0
2024/01/08;0.0;24.8;73.0
2024/01/08;0.0;24.5;73.0
2024/01/08;0.0;24.6;71.0
2024/01/08;0.0;25.5;69.0
2024/01/08;0.0;26.7;63.0
2024/01/08;0.0;28.7;58.0
2024/01/08;0.0;29.7;56.0
2024/01/08;0.0;30.5;51.0
2024/01/08;0.0;32.2;47.0
2024/01/08;0.0;33.6;42.0
2024/01/08;0.0;34.3;39.0
2024/01/08;0.0;35.0;35.0
2024/01/08;0.0;35.6;34.0
2024/01/08;0.0;32.5;42.0
2024/01/08;0.0;28.6;54.0
2024/01/08;0.0;28.5;52.0
2024/01/08;0.0;28.3;52.0
2024/01/09;0.0;28.5;48.0
2024/01/09;0.0;28.4;50.0
2024/01/09;12.0;23.4;76.0
2024/01/09;0.6;24.5;76.0
2024/01/09;0.0;24.7;71.0
2024/01/09;0.0;24.7;68.0
2024/01/09;0.0;24.4;70.0
2024/01/09;0.0;24.6;67.0
2024/01/09;0.0;23.9;70.0
2024/01/09;0.0;24.1;69.0
2024/01/09;0.0;24.7;68.0
2024/01/09;0.0;26.0;67.0
2024/01/09;0.2;26.8;63.0
2024/01/09;0.0;27.9;63.0
2024/01/09;0.0;29.4;60.0
2024/01/09;0.0;30.5;50.0
2024/01/09;0.0;31.6;49.0
2024/01/09;0.0;32.4;47.0
2024/01/09;0.0;32.7;37.0
2024/01/09;0.0;33.4;37.0
2024/01/09;0.0;32.1;40.0
2024/01/09;0.0;33.3;36.0
2024/01/09;0.0;31.4;42.0
2024/01/09;0.0;31.0;43.0
2024/01/10;0.0;29.0;51.0
2024/01/10;0.0;29.7;48.0
2024/01/10;0.0;29.2;50.0
2024/01/10;0.0;26.7;64.0
2024/01/10;67.0;19.5;96.0
2024/01/10;20.2;20.0;96.0
2024/01/10;1.4;20.1;97.0
2024/01/10;0.2;20.6;93.0
2024/01/10;0.0;20.5;93.0
2024/01/10;0.0;20.5;92.0
2024/01/10;0.0;22.1;84.0
2024/01/10;0.0;24.5;76.0
2024/01/10;0.0;25.5;72.0
2024/01/10;0.0;26.8;68.0
2024/01/10;0.2;27.2;63.0
2024/01/10;0.0;29.1;55.0
2024/01/10;0.0;29.1;53.0
2024/01/10;0.0;30.0;54.0
2024/01/10;0.0;30.8;48.0
2024/01/10;0.0;30.7;53.0
2024/01/10;1.0;28.5;64.0
2024/01/10;0.0;28.6;61.0
2024/01/10;0.0;26.9;67.0
2024/01/10;0.0;25.7;71.0
2024/01/11;0.0;25.0;78.0
2024/01/11;0.0;24.9;76.0
2024/01/11;0.0;24.6;76.0
2024/01/11;0.0;24.4;78.0
2024/01/11;0.0;24.4;78.0
2024/01/11;0.0;23.9;84.0
2024/01/11;1.0;22.9;92.0
2024/01/11;0.0;22.5;91.0
2024/01/11;0.0;22.5;90.0
2024/01/11;0.0;22.3;92.0
2024/01/11;0.0;22.4;91.0
2024/01/11;0.0;22.9;89.0
2024/01/11;0.0;24.4;81.0
2024/01/11;0.0;26.5;72.0
2024/01/11;0.0;27.0;67.0
2024/01/11;0.0;27.8;67.0
2024/01/11;0.0;29.9;65.0
2024/01/11;0.4;24.9;84.0
2024/01/11;4.8;22.0;89.0
2024/01/11;0.4;22.3;89.0
2024/01/11;0.4;23.5;88.0
2024/01/11;0.0;24.6;77.0
2024/01/11;0.0;24.6;80.0
2024/01/11;0.0;22.9;93.0
2024/01/12;0.0;23.2;90.0
2024/01/12;0.0;23.2;92.0
2024/01/12;0.4;23.4;92.0
2024/01/12;0.2;23.0;93.0
2024/01/12;0.0;22.7;93.0
2024/01/12;0.0;22.8;87.0
2024/01/12;0.0;22.6;89.0
2024/01/12;0.0;23.0;88.0
2024/01/12;0.0;21.7;95.0
2024/01/12;0.0;21.8;96.0
2024/01/12;0.0;22.9;92.0
2024/01/12;0.0;23.9;88.0
2024/01/12;0.0;24.4;83.0
2024/01/12;0.0;26.2;76.0
2024/01/12;0.0;26.9;72.0
2024/01/12;0.0;27.2;71.0
2024/01/12;0.0;28.9;65.0
2024/01/12;0.0;25.1;83.0
2024/01/12;0.0;25.0;89.0
2024/01/12;0.0;26.3;79.0
2024/01/12;0.0;26.8;78.0
2024/01/12;0.0;26.1;85.0
2024/01/12;0.0;25.0;89.0
2024/01/12;0.0;24.5;90.0
2024/01/13;0.0;24.2;89.0
2024/01/13;0.0;24.3;79.0
2024/01/13;0.0;23.3;83.0
2024/01/13;0.0;22.8;91.0
2024/01/13;0.0;22.7;88.0
2024/01/13;0.0;22.4;87.0
2024/01/13;0.0;22.2;85.0
2024/01/13;0.2;21.9;86.0
2024/01/13;0.2;20.9;92.0
2024/01/13;0.2;20.5;93.0
2024/01/13;0.0;20.8;92.0
2024/01/13;0.0;21.6;89.0
2024/01/13;0.0;22.6;87.0
2024/01/13;0.0;23.3;82.0
2024/01/13;0.4;24.1;88.0
2024/01/13;0.0;25.3;78.0
2024/01/13;0.0;26.5;70.0
2024/01/13;0.0;28.0;64.0
2024/01/13;0.0;29.6;48.0
2024/01/13;0.0;29.4;51.0
2024/01/13;0.0;28.9;54.0
2024/01/13;0.0;28.2;58.0
2024/01/13;0.0;26.7;63.0
2024/01/13;0.0;25.1;77.0
2024/01/14;4.0;22.3;95.0
2024/01/14;6.6;21.8;96.0
2024/01/14;3.2;21.8;96.0
2024/01/14;0.8;21.8;95.0
2024/01/14;0.0;21.5;90.0
2024/01/14;0.0;20.6;91.0
2024/01/14;0.0;20.2;91.0
2024/01/14;0.0;19.5;94.0
2024/01/14;0.0;19.1;94.0
2024/01/14;0.0;19.0;92.0
2024/01/14;0.0;20.2;87.0
2024/01/14;0.0;22.0;84.0
2024/01/14;0.0;23.6;77.0
2024/01/14;0.0;25.8;71.0
2024/01/14;0.0;27.5;61.0
2024/01/14;0.0;29.0;62.0
2024/01/14;0.0;31.0;53.0
2024/01/14;0.0;31.7;54.0
2024/01/14;0.0;31.6;53.0
2024/01/14;0.0;32.2;48.0
2024/01/14;0.0;31.3;50.0
